City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ploemeur,FR,47.7333,-3.4333,63.86,81,0,3.44,clear sky
80,Monte Alegre,BR,-2.0078,-54.0692,86.77,59,86,5.37,overcast clouds
81,Abeche,TD,13.8292,20.8324,92.34,29,83,6.82,broken clouds
82,Antigonish,CA,45.6169,-61.9986,64.15,75,65,5.01,broken clouds
83,Port Elizabeth,ZA,-33.918,25.5701,62.1,87,20,2.3,few clouds
84,Henties Bay,NA,-22.116,14.2845,75.85,45,0,1.05,clear sky
85,Kankaanpaa,FI,61.8,22.4167,56.16,71,0,4.83,clear sky
86,Clyde River,CA,70.4692,-68.5914,35.83,93,90,12.66,overcast clouds
87,Saldanha,ZA,-33.0117,17.9442,65.61,46,6,15.14,clear sky
88,Griffith,US,41.5284,-87.4237,87.98,56,90,4.0,overcast clouds
89,Pangnirtung,CA,66.1451,-65.7125,35.73,87,20,3.22,few clouds
90,Hamilton,US,39.1834,-84.5333,85.39,68,20,1.01,few clouds
91,Lebu,CL,-37.6167,-73.65,51.75,70,100,2.71,overcast clouds
92,Flin Flon,CA,54.7682,-101.865,57.04,88,90,12.82,overcast clouds
93,Iqaluit,CA,63.7506,-68.5145,36.7,69,42,4.0,scattered clouds
94,Ketchikan,US,55.3422,-131.6461,51.78,91,100,3.44,light rain
95,Kudahuvadhoo,MV,2.6708,72.8944,82.96,75,86,14.14,overcast clouds
96,Prabumulih,ID,-3.45,104.25,72.86,99,52,2.77,broken clouds
97,Georgetown,MY,5.4112,100.3354,80.53,89,20,1.01,few clouds
98,Hermanus,ZA,-34.4187,19.2345,66.9,42,0,11.32,clear sky
99,Sitka,US,57.0531,-135.33,52.11,77,100,3.56,light rain
100,Anadyr,RU,64.75,177.4833,45.1,61,75,9.78,broken clouds
101,Cherskiy,RU,68.75,161.3,64.29,42,100,17.11,overcast clouds
102,Quelimane,MZ,-17.8786,36.8883,66.15,77,62,5.3,broken clouds
103,Butaritari,KI,3.0707,172.7902,82.22,72,20,5.1,light rain
104,Romny,UA,50.751,33.4747,55.92,92,83,5.53,broken clouds
105,Nantucket,US,41.2835,-70.0995,86.11,57,1,10.36,clear sky
106,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,100,90,2.55,light rain
107,Shestakovo,RU,56.4915,103.96,39.92,86,0,3.85,clear sky
108,Saint-Philippe,RE,-21.3585,55.7679,69.35,85,70,12.68,light rain
109,Longyearbyen,SJ,78.2186,15.6401,39.04,70,0,17.27,clear sky
110,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.26,90,100,0.72,overcast clouds
111,Haines Junction,CA,60.7522,-137.5108,48.87,79,100,5.48,overcast clouds
112,Vardo,NO,70.3705,31.1107,41.2,70,20,11.5,few clouds
113,Lorengau,PG,-2.0226,147.2712,79.9,78,96,4.07,overcast clouds
114,East London,ZA,-33.0153,27.9116,63.3,41,0,9.78,clear sky
115,Kavieng,PG,-2.5744,150.7967,81.34,77,90,7.43,light rain
116,Aksu,CN,41.1231,80.2644,76.53,25,84,7.0,broken clouds
117,Campo De Criptana,ES,39.4046,-3.1249,72.32,32,0,3.6,clear sky
118,Harper,LR,4.375,-7.7169,77.81,88,100,9.95,overcast clouds
119,Kaitangata,NZ,-46.2817,169.8464,46.42,80,98,1.5,overcast clouds
120,Lavrentiya,RU,65.5833,-171.0,35.04,81,99,5.03,overcast clouds
121,Kruisfontein,ZA,-34.0033,24.7314,60.89,21,0,9.04,clear sky
122,Ancud,CL,-41.8697,-73.8203,51.22,82,100,15.95,light rain
123,Mago,RU,53.2514,140.1822,41.31,87,100,4.94,overcast clouds
124,Bathsheba,BB,13.2167,-59.5167,81.91,73,41,19.73,scattered clouds
125,Karratha,AU,-20.7377,116.8463,74.97,62,96,7.9,overcast clouds
126,Sumter,US,28.7086,-82.0831,96.03,50,100,4.5,overcast clouds
127,Provideniya,RU,64.3833,-173.3,37.51,75,0,4.47,clear sky
128,Bethel,US,41.3712,-73.414,94.41,45,1,12.66,clear sky
129,Bengkulu,ID,-3.8004,102.2655,73.85,90,49,4.45,scattered clouds
130,Zhurivka,UA,50.5028,31.7849,57.18,94,67,7.43,broken clouds
131,Sechura,PE,-5.5569,-80.8222,75.2,63,93,11.52,overcast clouds
132,Qaanaaq,GL,77.484,-69.3632,40.37,84,40,5.28,scattered clouds
133,Ailigandi,PA,9.2333,-78.0167,84.07,78,86,10.92,overcast clouds
134,Chuy,UY,-33.6971,-53.4616,54.05,75,100,5.06,overcast clouds
135,Waldoboro,US,44.0954,-69.3756,88.21,60,45,7.52,scattered clouds
136,Kropotkin,RU,45.4375,40.5756,55.45,94,38,8.84,scattered clouds
137,Athabasca,CA,54.7169,-113.2854,63.63,38,98,11.16,overcast clouds
138,Puri,IN,19.8,85.85,87.39,83,74,20.15,broken clouds
139,Atuona,PF,-9.8,-139.0333,79.66,65,63,7.4,broken clouds
140,Padang,ID,-0.9492,100.3543,75.87,79,62,4.12,broken clouds
141,Aswan,EG,24.0934,32.907,88.2,12,5,12.75,clear sky
142,Hasaki,JP,35.7333,140.8333,66.29,85,100,1.74,overcast clouds
143,Kalmunai,LK,7.4167,81.8167,81.82,75,100,4.36,overcast clouds
144,Skibbereen,IE,51.55,-9.2667,53.4,78,99,3.6,overcast clouds
145,Koumra,TD,8.9126,17.5539,80.37,59,17,4.5,few clouds
146,Togul,RU,53.465,85.9128,50.11,94,26,5.59,scattered clouds
147,Porto Novo,BJ,6.4965,2.6036,80.6,78,88,8.32,overcast clouds
148,Henderson,US,36.0397,-114.9819,104.11,11,1,8.01,clear sky
149,Hithadhoo,MV,-0.6,73.0833,83.03,74,8,13.85,clear sky
150,Hambantota,LK,6.1241,81.1185,79.66,85,100,15.28,overcast clouds
151,Atikokan,CA,48.7555,-91.6216,90.63,36,52,15.88,broken clouds
152,Severo-Kurilsk,RU,50.6789,156.125,42.01,94,100,8.88,overcast clouds
153,Ostrovnoy,RU,68.0531,39.5131,39.67,87,7,8.16,clear sky
154,Northam,GB,51.0333,-4.2167,61.34,86,32,4.68,scattered clouds
155,Lerwick,GB,60.1545,-1.1494,53.6,81,73,6.91,broken clouds
156,Plettenberg Bay,ZA,-34.0527,23.3716,68.5,26,3,10.94,clear sky
157,Saint George,US,37.1041,-113.5841,102.67,11,1,3.0,clear sky
158,Dikson,RU,73.5069,80.5464,30.0,88,100,9.98,overcast clouds
159,Comodoro Rivadavia,AR,-45.8667,-67.5,51.55,47,43,18.72,scattered clouds
160,Tallahassee,US,30.4383,-84.2807,90.32,64,75,1.99,broken clouds
161,Inuvik,CA,68.3499,-133.7218,47.23,40,3,9.13,clear sky
162,Eureka,US,40.8021,-124.1637,66.67,64,20,8.99,few clouds
163,Port Alfred,ZA,-33.5906,26.891,65.52,36,0,8.14,clear sky
164,Nacala,MZ,-14.5428,40.6728,68.65,82,23,9.46,few clouds
