City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Omboue,GA,2021-06-06 04:51:56,-1.5746,9.2618,75.99,92,100,3.6
68,Harper,LR,2021-06-06 04:51:56,4.375,-7.7169,76.87,90,90,3.85
69,Barrow,US,2021-06-06 04:51:56,71.2906,-156.7887,33.82,86,90,12.66
70,Hilo,US,2021-06-06 04:46:57,19.7297,-155.09,75.79,83,34,1.99
71,Port Alfred,ZA,2021-06-06 04:51:57,-33.5906,26.891,56.8,45,0,10.38
72,Cidreira,BR,2021-06-06 04:51:57,-30.1811,-50.2056,62.94,95,100,7.34
73,Ancud,CL,2021-06-06 04:51:57,-41.8697,-73.8203,46.22,83,95,4.88
74,Pangody,RU,2021-06-06 04:51:58,65.85,74.4859,43.72,65,99,9.93
75,Nelson Bay,AU,2021-06-06 04:51:58,-32.7167,152.15,65.77,58,0,1.99
76,Tiznit,MA,2021-06-06 04:51:58,29.5833,-9.5,61.34,66,64,0.6
77,Aksarka,RU,2021-06-06 04:51:58,66.5606,67.7975,44.04,44,42,18.23
78,Bathsheba,BB,2021-06-06 04:51:59,13.2167,-59.5167,81.21,65,20,17.56
79,Ribeira Grande,PT,2021-06-06 04:51:59,38.5167,-28.7,64.2,88,96,8.68
80,New Norfolk,AU,2021-06-06 04:51:59,-42.7826,147.0587,52.92,67,100,1.01
81,Marzuq,YE,2021-06-06 04:52:00,14.4,46.4667,84.6,16,7,1.97
82,Saint-Philippe,RE,2021-06-06 04:52:00,-21.3585,55.7679,76.48,80,61,0.87
83,Vaini,TO,2021-06-06 04:52:00,-21.2,-175.2,77.16,73,75,1.14
84,Arraial Do Cabo,BR,2021-06-06 04:52:01,-22.9661,-42.0278,72.68,87,0,20.65
85,Zyryanka,RU,2021-06-06 04:52:01,65.75,150.85,75.7,27,3,25.75
86,Fortuna,US,2021-06-06 04:52:01,40.5982,-124.1573,53.94,69,1,1.99
87,Ballina,AU,2021-06-06 04:52:02,-28.8667,153.5667,69.98,54,0,11.5
88,Kirakira,SB,2021-06-06 04:52:02,-10.4544,161.9205,83.26,77,93,8.05
89,Sivas,TR,2021-06-06 04:52:02,39.7916,37.0019,46.98,73,56,6.96
90,Tual,ID,2021-06-06 04:52:03,-5.6667,132.75,81.59,77,44,17.63
91,Hovd,MN,2021-06-06 04:52:03,48.0056,91.6419,55.58,16,8,12.8
92,Acala,MX,2021-06-06 04:52:03,16.5667,-92.8,73.71,91,85,1.57
93,Upernavik,GL,2021-06-06 04:52:04,72.7868,-56.1549,33.69,83,2,3.58
94,Luxor,EG,2021-06-06 04:52:04,25.6989,32.6421,76.89,33,3,11.7
95,Fairbanks,US,2021-06-06 04:47:29,64.8378,-147.7164,66.2,48,75,4.61
96,Yellowknife,CA,2021-06-06 04:52:05,62.456,-114.3525,57.72,54,20,9.22
97,Prince Rupert,CA,2021-06-06 04:52:05,54.3161,-130.3201,47.89,93,90,9.22
98,Adilcevaz,TR,2021-06-06 04:52:05,38.8039,42.7342,62.06,42,0,5.32
99,Hualmay,PE,2021-06-06 04:52:05,-11.0964,-77.6139,63.12,84,29,7.2
100,Anadyr,RU,2021-06-06 04:52:06,64.75,177.4833,48.7,66,0,15.88
101,Aykhal,RU,2021-06-06 04:52:06,66.0,111.5,50.38,35,92,17.47
102,Mahebourg,MU,2021-06-06 04:48:19,-20.4081,57.7,78.26,88,75,8.05
103,Dhana,IN,2021-06-06 04:52:06,23.75,78.85,93.42,37,45,14.2
104,Solikamsk,RU,2021-06-06 04:52:07,59.6196,56.7729,70.75,42,6,8.88
105,Tazmalt,DZ,2021-06-06 04:52:07,36.3868,4.3989,68.41,90,91,4.94
106,Constitucion,CL,2021-06-06 04:52:07,-35.3333,-72.4167,49.46,63,100,5.99
107,Puerto Rico,AR,2021-06-06 04:52:08,-26.796,-55.024,67.42,81,100,1.54
108,Leningradskiy,RU,2021-06-06 04:52:08,69.3833,178.4167,37.15,94,100,12.24
109,Kulhudhuffushi,MV,2021-06-06 04:52:08,6.6221,73.07,82.83,76,88,15.46
110,Lorengau,PG,2021-06-06 04:52:09,-2.0226,147.2712,81.7,77,98,7.0
111,Clyde River,CA,2021-06-06 04:52:09,70.4692,-68.5914,32.23,100,90,13.8
112,George,ZA,2021-06-06 04:52:09,-33.963,22.4617,63.95,20,0,2.3
113,Longyearbyen,SJ,2021-06-06 04:52:09,78.2186,15.6401,35.44,64,20,10.36
114,Avarua,CK,2021-06-06 04:52:10,-21.2078,-159.775,73.45,68,20,6.91
115,Nieuw Amsterdam,SR,2021-06-06 04:52:10,5.8833,-55.0833,76.01,92,72,6.42
116,Salta,AR,2021-06-06 04:50:45,-24.7859,-65.4117,61.09,76,75,1.99
117,Cabrobo,BR,2021-06-06 04:52:11,-8.5142,-39.31,68.7,91,41,11.81
118,Herran,CO,2021-06-06 04:52:11,7.5061,-72.4833,58.44,98,100,4.18
119,Hobart,AU,2021-06-06 04:50:57,-42.8794,147.3294,53.26,65,75,5.93
120,Yar-Sale,RU,2021-06-06 04:52:11,66.8333,70.8333,43.18,49,97,15.68
121,Ushtobe,KZ,2021-06-06 04:52:12,45.2514,77.9838,68.76,20,6,19.13
122,Norman Wells,CA,2021-06-06 04:52:12,65.282,-126.8329,48.24,71,90,10.36
123,Altea,ES,2021-06-06 04:52:12,38.5989,-0.0514,66.2,88,18,2.59
124,Tafalla,ES,2021-06-06 04:52:13,42.5269,-1.6745,57.06,90,100,7.09
125,Saldanha,ZA,2021-06-06 04:52:13,-33.0117,17.9442,66.0,35,30,21.9
126,Rockingham,US,2021-06-06 04:52:13,42.9668,-71.0995,75.97,86,91,3.47
127,Srednekolymsk,RU,2021-06-06 04:52:13,67.45,153.6833,72.41,26,12,20.78
128,Pangnirtung,CA,2021-06-06 04:52:14,66.1451,-65.7125,24.53,93,65,4.97
129,Northam,GB,2021-06-06 04:52:14,51.0333,-4.2167,57.34,97,100,4.81
130,Hamilton,US,2021-06-06 04:52:14,39.1834,-84.5333,71.58,83,1,3.74
131,Colares,PT,2021-06-06 04:52:15,38.7992,-9.4469,60.89,76,0,1.01
132,Noshiro,JP,2021-06-06 04:52:15,40.2039,140.0242,77.94,64,94,13.18
133,Launceston,AU,2021-06-06 04:52:15,-41.45,147.1667,52.81,80,75,1.01
134,Kerema,PG,2021-06-06 04:52:16,-7.9631,145.7785,80.26,83,69,6.38
135,Petropavlovsk-Kamchatskiy,RU,2021-06-06 04:52:16,53.0452,158.6483,43.39,87,90,6.96
136,Opuwo,NA,2021-06-06 04:52:16,-18.0607,13.84,51.24,39,0,10.25
