City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Narsaq,GL,57.42,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
463,Oga,IT,58.69,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
465,Verkh-Usugli,RU,56.28,broken clouds,52.7,115.1667,"Gostinitsa ""Sever"""
476,Leshukonskoye,RU,50.72,few clouds,64.8989,45.7622,Pryalitsa Hostel
478,Aasiaat,GL,35.91,broken clouds,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
481,Gunnedah,AU,37.72,clear sky,-30.9833,150.25,Gunnedah Motor Inn
485,Nome,US,36.16,mist,64.5011,-165.4064,Dredge 7 Inn
489,Whitehorse,CA,49.01,light rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
501,Usinsk,RU,45.3,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
502,Broken Hill,AU,51.46,few clouds,-31.95,141.4333,Royal Exchange Hotel
507,Gander,CA,51.17,broken clouds,48.9682,-54.5906,Quality Hotel & Suites
508,Nenjiang,CN,54.46,clear sky,49.1833,125.2167,Nenjiang Apartment
509,Wagga Wagga,AU,42.6,overcast clouds,-35.1167,147.3667,The Club Motel and Apartments
515,Kurumkan,RU,49.75,overcast clouds,54.3,110.3,Ilikchin
518,Tuatapere,NZ,41.56,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
522,Kununurra,AU,57.18,clear sky,-15.7667,128.7333,Hotel Kununurra
535,Vrangel,RU,55.4,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
541,Talnakh,RU,30.42,light snow,69.4865,88.3972,Talnakh Hotel
542,Elk Plain,US,52.25,light intensity drizzle,47.0532,-122.3976,Loveland Mobile Estates
546,Ulaangom,MN,50.83,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
547,Collie,AU,47.98,scattered clouds,-33.3667,116.15,Collie Ridge
550,Charters Towers,AU,57.63,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
551,Manjakandriana,MG,55.09,broken clouds,-18.9167,47.8,Ampahikely Manjakandriana
558,Prince Albert,CA,55.09,moderate rain,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
